'BishopCheng.regularSeqLtProp_of_ltData' depends on axioms: [propext, Quot.sound]
'BishopCheng.regularSeqLtProp_add_cancel_right' depends on axioms: [propext, Quot.sound]
'BishopCheng.regularSeqLtProp_add_cancel_left' depends on axioms: [propext, Quot.sound]
'BishopCheng.regularSeqFinSum_lt_pick' depends on axioms: [propext, Quot.sound]
'BishopCheng.repSeriesSum_finSum' depends on axioms: [propext, Quot.sound]
'BishopCheng.repSeriesSum_finSum_sum_eq' depends on axioms: [propext, Quot.sound]
'BishopCheng.finPtsL' depends on axioms: [propext, Quot.sound]
'BishopCheng.finPtsEval' depends on axioms: [propext, Quot.sound]
'BishopCheng.finPtsEval_min' depends on axioms: [propext, Quot.sound]
'BishopCheng.finPtsI' depends on axioms: [propext, Quot.sound]
'BishopCheng.finPtsDef11' depends on axioms: [propext, Quot.sound]
'BishopCheng.finPtsCutConst' depends on axioms: [propext, Quot.sound]
'BishopCheng.finPtsIntSpaceC' depends on axioms: [propext, Quot.sound]
'BishopCheng.twoPoint_norm' depends on axioms: [propext, Quot.sound]
'BishopCheng.twoPointDef11' depends on axioms: [propext, Quot.sound]
'BishopCheng.twoPointIntSpaceC' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolPts' does not depend on any axioms
'BishopCheng.boolTwoPointDef11' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolTwoPointIntSpaceC' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolIndicator' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolIndicator_mem' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolTwoPointDef11_L' depends on axioms: [propext, Quot.sound]
'BishopCheng.zero_lt_oneC' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolIndicator_integral' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolIndicator_integral_pos' depends on axioms: [propext, Quot.sound]
'BishopCheng.boolTwoPoint_not_concentrated' depends on axioms: [propext, Quot.sound]
